id,subsystem,brand,model,technology,hs_code,country_of_manufacture,country_designed,confidence_tier,blue_uas_status,source_authority,source_url,source_status,price_usd,price_min,price_max,price_is_range,max_power_w,weight_g,wh_per_kg,capacity_mah,voltage,specs
ELEC-AINSTEIN-USD1-2026-05-09,electronics,Ainstein,US-D1,RADAR,852610,,USA,Tier 3 Inferred,vendor_claimed,vendor_datasheet,https://ainstein.ai,bot_blocked,499.0,499.0,499.0,False,,110.0,,,,"{""fov"": ""43x30 deg"", ""max_range"": ""50 m"", ""precision"": ""6 cm"", ""sensing_technology"": ""24 GHz FMCW Radar"", ""update_rate"": ""100 Hz""}"
ELEC-ALPHASENSE-OPCN3-2026-05-09,electronics,Alphasense,OPC-N3,SENSOR_OTHER,902710,GBR,GBR,Tier 3 Inferred,vendor_claimed,vendor_datasheet,https://store.alphasense.com/opc-n3/,ok,255.0,210.0,300.0,True,,105.0,,,,"{""flow_rate"": ""5.5 L/min"", ""max_count_rate"": ""10000 particles/s"", ""measurement_type"": ""Optical particle counter 24-bin"", ""particle_size_range"": ""0.35-40 µm""}"
HOUS-AMASS-AS150-2026-05-09,electronics,Amass,AS150,CONNECTOR,853690,CHN,CHN,Tier 0 Anchor,none,distributor_catalog,https://anubisrc.com/product/amass-as150-connector-pair/,ok,7.5,5.0,10.0,True,,28.0,,,,"{""anti_spark"": ""yes (patented)"", ""contact_diameter"": ""7.0 mm"", ""mating_cycles"": ""1000 cycles"", ""max_continuous_current"": ""150 A"", ""max_peak_current"": ""200 A"", ""max_voltage"": ""500 V"", ""pin_count"": ""2"", ""recommended_wire"": ""8 AWG""}"
HOUS-AMASS-AS150U-2026-05-09,electronics,Amass,AS150U,CONNECTOR,853690,CHN,CHN,Tier 0 Anchor,none,distributor_catalog,https://www.tme.com/us/en-us/details/as150u-m/dc-power-connectors/amass/,bot_blocked,9.0,6.0,12.0,True,,,,,,"{""anti_spark"": ""yes"", ""contact_resistance"": ""0.40 mΩ"", ""mating_cycles"": ""1000 cycles"", ""max_continuous_current"": ""70 A"", ""max_peak_current"": ""140 A"", ""max_voltage"": ""500 V"", ""recommended_wire"": ""8 AWG"", ""signal_pins"": ""4""}"
HOUS-AMASS-EC3-2026-05-09,electronics,Amass,EC3,CONNECTOR,853690,CHN,CHN,Tier 0 Anchor,none,distributor_catalog,https://aligntrexshop.com/ec3-connectors-4-pairs-amass-epb-1040,ok,1.0,0.5,1.5,True,,6.0,,,,"{""contact_diameter"": ""3.5 mm"", ""max_continuous_current"": ""60 A"", ""max_voltage"": ""500 V"", ""pin_count"": ""2""}"
HOUS-AMASS-EC5-2026-05-09,electronics,Amass,EC5,CONNECTOR,853690,CHN,CHN,Tier 0 Anchor,none,distributor_catalog,https://www.buddyrc.com/products/ec5-connectors-2-pairs,ok,2.25,1.5,3.0,True,,12.0,,,,"{""contact_diameter"": ""5.0 mm"", ""contact_material"": ""gold-plated brass"", ""max_continuous_current"": ""120 A"", ""max_voltage"": ""500 V"", ""pin_count"": ""2"", ""recommended_wire"": ""10 AWG""}"
HOUS-AMASS-XT30U-2026-05-09,electronics,Amass,XT30U,CONNECTOR,853690,CHN,CHN,Tier 0 Anchor,none,distributor_catalog,https://mjbots.com/products/xt30u-m,ok,1.0,0.5,1.5,True,,2.0,,,,"{""contact_diameter"": ""2.0 mm"", ""contact_material"": ""gold-plated brass"", ""housing_material"": ""PA66 Nylon"", ""mating_cycles"": ""1000 cycles"", ""max_continuous_current"": ""30 A"", ""max_voltage"": ""500 V"", ""pin_count"": ""2""}"
HOUS-AMASS-XT60EM-2026-05-09,electronics,Amass,XT60E-M,CONNECTOR,853690,CHN,CHN,Tier 0 Anchor,none,distributor_catalog,https://pyrodrone.com/products/amass-xt60e-m-mountable-xt60-male-plug-w-mounting-screws-choose-color,ok,1.75,1.0,2.5,True,,8.0,,,,"{""contact_diameter"": ""3.5 mm"", ""contact_material"": ""gold-plated brass"", ""max_continuous_current"": ""60 A"", ""max_voltage"": ""500 V"", ""mounting"": ""panel mount with screws""}"
HOUS-AMASS-XT60H-2026-05-09,electronics,Amass,XT60H,CONNECTOR,853690,CHN,CHN,Tier 0 Anchor,none,distributor_catalog,https://pyrodrone.com/products/amass-xt60h-connector-5pcs-female,ok,1.25,0.5,2.0,True,,9.0,,,,"{""contact_resistance"": ""<0.5 mΩ"", ""max_current"": ""60 A"", ""max_voltage"": ""500 V""}"
HOUS-AMASS-XT90S-2026-05-09,electronics,Amass,XT90-S,CONNECTOR,853690,CHN,CHN,Tier 0 Anchor,none,distributor_catalog,https://rc-wing.com/products/amass-xt90-s-5-pairs,ok,2.75,1.5,4.0,True,,15.0,,,,"{""anti_spark"": ""yes"", ""max_current"": ""90 A"", ""max_voltage"": ""500 V""}"
ELEC-AMBARELLA-CV25-2026-05-09,electronics,Ambarella,CV25,COMPANION_COMPUTER,854231,,USA,Tier 2 Triangulated,none,vendor_datasheet,https://ambarella.com/products/consumer/,ok,,,,False,,,,,,"{""camera_streams"": ""3"", ""cpu_cores"": ""4 Cortex-A53"", ""process_node"": ""10 nm"", ""video_encode"": ""4Kp30 H.265/H.264"", ""vision_engine"": ""CVflow 2.0""}"
ELEC-AMBARELLA-CV5-2026-05-09,electronics,Ambarella,CV5,COMPANION_COMPUTER,854231,,USA,Tier 2 Triangulated,none,vendor_datasheet,https://www.ambarella.com/news/ambarella-introduces-cv5-high-performance-ai-vision-processor-for-single-8k-and-multi-imager-ai-cameras/,ok,,,,False,,,,,,"{""camera_ports"": ""4 MIPI CSI-2 (up to 14 via VC)"", ""cpu_cores"": ""2 Cortex-A76"", ""max_ram"": ""32 GB LPDDR5/5x"", ""process_node"": ""5 nm"", ""video_encode"": ""8Kp60 H.265/H.264"", ""vision_engine"": ""CVflow (next-gen)""}"
ELEC-AMD-KRIAKR260-2026-05-09,electronics,AMD,Kria KR260,COMPANION_COMPUTER,854239,TWN,USA,Tier 3 Inferred,none,vendor_datasheet,https://www.amd.com/en/products/system-on-modules/kria/k26/kr260-robotics-starter-kit.html,ok,390.0,349.0,431.0,True,,,,,,"{""ai_performance_tops"": ""1.4 TOPS (Vitis AI DPU)"", ""fpga"": ""Zynq UltraScale+ MPSoC XCK26"", ""gbe_ports"": ""4 GbE + 1× 10GbE SFP+"", ""pmod_ports"": ""4""}"
ELEC-AMD-KRIAKV260-2026-05-09,electronics,AMD,Kria KV260,COMPANION_COMPUTER,854239,TWN,USA,Tier 3 Inferred,none,vendor_datasheet,https://www.amd.com/en/products/system-on-modules/kria/k26/kv260-vision-starter-kit.html,ok,199.0,199.0,199.0,False,,,,,,"{""ai_performance_tops"": ""1.4 TOPS (Vitis AI DPU)"", ""cpu_cores"": ""4 Cortex-A53 + 2× R5F"", ""dsp_slices"": ""1248"", ""fpga"": ""Zynq UltraScale+ MPSoC XCK26"", ""logic_cells"": ""256000"", ""ram"": ""4 GB DDR4""}"
HOUS-AMPHENOL-D38999SERIESIII(TV/CTV)-2026-05-09,electronics,Amphenol,D38999 Series III (TV/CTV),CONNECTOR,853690,USA,USA,Tier 3 Inferred,vendor_claimed,vendor_datasheet,https://www.amphenol-aerospace.com/products/mil-dtl-38999-connectors,bot_blocked,115.0,30.0,200.0,True,,,,,,"{""coupling"": ""tri-start threaded"", ""mating_cycles"": ""500 cycles"", ""max_contacts"": ""128 contacts"", ""salt_spray"": ""2000 hours"", ""shell_materials"": ""aluminum;stainless steel;composite"", ""specification"": ""MIL-DTL-38999""}"
HOUS-AMPHENOL-ETV38999-2026-05-09,electronics,Amphenol,ETV38999,CONNECTOR,853690,USA,USA,Tier 3 Inferred,vendor_claimed,vendor_datasheet,https://www.amphenol-aerospace.com/Products/Circular-Connectors/Mil-Spec-Type-Circulars/MIL-DTL-38999-Connectors/ETV38999,bot_blocked,70.0,20.0,120.0,True,,,,,,"{""contact_options"": ""crimp;solder;PC tail;coax;fiber optic"", ""mating_cycles"": ""500 cycles"", ""shell_material"": ""non-plated composite (non-conductive)"", ""specification"": ""MIL-DTL-38999 performance""}"
ELEC-ANTCOM-3G1215AXT1-2026-05-09,electronics,Antcom,3G1215A-XT-1,ANTENNA,852990,USA,USA,Tier 3 Inferred,none,vendor_datasheet,https://antcom.com/products/gps-and-gnss-antennas,bot_blocked,200.0,100.0,300.0,True,,,,,,"{""P1dB_compression"": ""high"", ""active_passive"": ""active"", ""connector"": ""TNC or SMA"", ""frequency"": ""1215-1260; 1559-1610 MHz"", ""gain_L1"": ""28 dBi (with LNA)"", ""gain_L2"": ""28 dBi (with LNA)"", ""polarization"": ""RHCP""}"
ELEC-ANTCOM-4NC3.5CG1215P-2026-05-09,electronics,Antcom,4NC-3.5CG1215P,ANTENNA,852990,USA,USA,Tier 3 Inferred,none,vendor_datasheet,https://antcom.com/products/crpas,bot_blocked,,,,False,,,,,,"{""active_passive"": ""active"", ""connector"": ""SMA(F) x4"", ""elements"": ""4"", ""frequency"": ""1215-1260; 1559-1610 MHz"", ""polarization"": ""RHCP"", ""type"": ""CRPA""}"
ELEC-ANTCOM-7NF7.8CG-2026-05-09,electronics,Antcom,7NF-7.8CG,ANTENNA,852990,USA,USA,Tier 3 Inferred,none,vendor_datasheet,https://antcom.com/products/crpas,bot_blocked,,,,False,,,,,,"{""active_passive"": ""active"", ""connector"": ""SMA(F) x7"", ""elements"": ""7"", ""frequency"": ""GPS L1/L2 or GNSS wideband MHz"", ""polarization"": ""RHCP"", ""type"": ""CRPA""}"
ELEC-APD-100F3[X]-2026-05-09,electronics,APD,100F3[X],ESC_BLDC,850440,AUS,AUS,Tier 3 Inferred,none,vendor_datasheet,https://powerdrives.net/f-series,ok,110.0,110.0,110.0,False,,13.0,,,,"{""burst_current"": ""150 A"", ""continuous_current"": ""100 A"", ""eRPM_max"": ""750000 eRPM"", ""telemetry"": ""yes""}"
ELEC-APD-120F3[X]-2026-05-09,electronics,APD,120F3[X],ESC_BLDC,850440,AUS,AUS,Tier 3 Inferred,none,vendor_datasheet,https://powerdrives.net/f-series,ok,159.0,159.0,159.0,False,,20.0,,,,"{""burst_current"": ""200 A"", ""continuous_current"": ""120 A"", ""eRPM_max"": ""750000 eRPM"", ""telemetry"": ""yes""}"
ELEC-APD-200F3[X]-2026-05-09,electronics,APD,200F3[X],ESC_BLDC,850440,AUS,AUS,Tier 3 Inferred,none,vendor_datasheet,https://powerdrives.net/f-series,ok,318.0,318.0,318.0,False,,36.0,,,,"{""burst_current"": ""300 A"", ""continuous_current"": ""200 A"", ""eRPM_max"": ""750000 eRPM"", ""telemetry"": ""yes""}"
ELEC-APD-40F3-2026-05-09,electronics,APD,40F3,ESC_BLDC,850440,AUS,AUS,Tier 3 Inferred,none,vendor_datasheet,https://powerdrives.net/f-series,ok,35.0,35.0,35.0,False,,3.0,,,,"{""burst_current"": ""100 A"", ""continuous_current"": ""40 A"", ""eRPM_max"": ""750000 eRPM"", ""telemetry"": ""yes""}"
ELEC-APD-APD80F3-2026-05-09,electronics,APD,APD 80F3,ESC_BLDC,850440,AUS,AUS,Tier 3 Inferred,vendor_claimed,vendor_datasheet,https://powerdrives.net/80f3,ok,150.0,120.0,180.0,True,,60.0,,,,"{""burst_current"": ""120 A"", ""firmware"": ""APD proprietary FOC"", ""max_continuous_current"": ""80 A"", ""protocol_support"": ""PWM;DShot;CAN"", ""telemetry"": ""yes""}"
ELEC-APD-HVPRO14S-2026-05-09,electronics,APD,HV Pro 14S,ESC_BLDC,850440,AUS,AUS,Tier 3 Inferred,none,vendor_datasheet,https://powerdrives.net/about-us,ok,2250.0,2250.0,2250.0,False,,260.0,,,,"{""burst_current"": ""360 A"", ""continuous_current"": ""240 A"", ""flash_storage"": ""16 Mbit"", ""throttle_resolution"": ""12 bit""}"
ELEC-APD-HVPRO16S-2026-05-09,electronics,APD,HV Pro 16S,ESC_BLDC,850440,AUS,AUS,Tier 3 Inferred,none,vendor_datasheet,https://neumotors.com/apd-hv_pro_16-brushless-esc-2/,ok,2088.9,2088.9,2088.9,False,,260.0,,,,"{""burst_current"": ""600 A"", ""continuous_current"": ""400 A""}"
ELEC-APD-UHV20S-2026-05-09,electronics,APD,UHV 20S,ESC_BLDC,850440,AUS,AUS,Tier 3 Inferred,none,vendor_datasheet,https://powerdrives.net/about-us,ok,2500.0,2500.0,2500.0,False,,740.0,,,,"{""burst_current"": ""450 A"", ""continuous_current"": ""400 A"", ""max_power"": ""38000 W""}"
ELEC-APEM-55MHALLEFFECTJOYSTICK-2026-05-29,electronics,APEM,55'M Hall Effect Joystick,INPUT_DEVICE,,FRA,FRA,Tier 3 Inferred,none,public_knowledge_plus_auvsi_mention,,,,,,False,,,,,,
ELEC-APPLANIX-APX15UAV-2026-05-29,electronics,Applanix,APX-15 UAV,GNSS_INS,852691,CAN,CAN,Tier 2 Triangulated,none,public_knowledge_plus_auvsi_mention,,,,,,False,,,,,,
ELEC-APPLANIX-APX18UAV-2026-05-29,electronics,Applanix,APX-18 UAV,GNSS_INS,852691,CAN,CAN,Tier 3 Inferred,none,public_knowledge_plus_auvsi_mention,,,,,,False,,,,,,
ELEC-APPLANIX-APX20UAV-2026-05-29,electronics,Applanix,APX-20 UAV,GNSS_INS,852691,CAN,CAN,Tier 3 Inferred,none,public_knowledge_plus_auvsi_mention,,,,,,False,,,,,,
ELEC-ARKELECTRONICS-ARKFLOW-2026-05-09,electronics,ARK Electronics,ARK Flow,OPTICAL_FLOW_SENSOR,901420,USA,USA,Tier 2 Triangulated,framework_listed,vendor_datasheet,https://arkelectron.com/product/ark-flow/,ok,232.5,215.0,250.0,True,,5.0,,,,"{""distance_update_rate"": ""40 Hz"", ""flow_update_rate"": ""100 Hz"", ""low_light_threshold"": ""9 lux (40 mW IR LED)"", ""sensor_type"": ""PAW3902 + AFBR-S50LV85D ToF + ICM-42688-P IMU"", ""working_altitude"": ""0.08-30 m""}"
ELEC-ATTOPILOT-180A-2026-05-09,electronics,AttoPilot,180A,CURRENT_SENSOR,903033,,USA,Tier 3 Inferred,none,vendor_datasheet,https://ardupilot.org/copter/docs/common-powermodule-landingpage.html,ok,30.0,25.0,35.0,True,,,,,,"{""max_current"": ""180 A"", ""max_voltage"": ""51.8 V"", ""signal_type"": ""analog"", ""voltage_divider_ratio"": ""15.7""}"
ELEC-AUTERION-MISSIONCONTROL-2026-05-09,electronics,Auterion,Mission Control,GROUND_CONTROL_STATION,,USA,USA,Tier 2 Triangulated,none,vendor_datasheet,,,,,,False,,,,,,"{""_brand_aliases"": [""Skynav (legacy name)""], ""form_factor"": ""app-based (iOS/Android/web)"", ""subscription_model"": true}"
ELEC-AUTERION-SKYNODE-2026-05-09,electronics,Auterion,Skynode,FLIGHT_CONTROLLER,853710,USA,USA,Tier 0 Anchor,vendor_claimed,vendor_datasheet,https://docs.auterion.com/hardware-integration/skynode,ok,2250.0,1500.0,3000.0,True,,,,,,"{""ai_compute"": ""yes"", ""companion_compute"": ""integrated"", ""processor"": ""NXP i.MX 8M + STM32H7"", ""redundancy"": ""triple IMU""}"
ELEC-AUTERION-SKYNODES-2026-05-09,electronics,Auterion,Skynode S,FLIGHT_CONTROLLER,901420,USA,USA,Tier 2 Triangulated,framework_listed,vendor_datasheet,https://auterion.com/product/skynode-s,ok,,,,False,,38.0,,,,"{""fmu"": ""FMUv6x"", ""imu"": ""Triple FMUv6x standard"", ""mission_computer"": ""ARM Cortex-A53 quad-core 1.8GHz 2.3 TOPS NPU 4GB LPDDR4 32GB eMMC"", ""npu_tops"": ""2.3 TOPS"", ""video_streams"": ""2x 1080p60 H.264/H.265""}"
ELEC-AUTERION-SKYNODEX-2026-05-09,electronics,Auterion,Skynode X,FLIGHT_CONTROLLER,901420,USA,USA,Tier 2 Triangulated,framework_listed,vendor_datasheet,https://auterion.com/product/skynode-x,ok,,,,False,,,,,,"{""connectivity"": ""4G/LTE WiFi BT MIPI CSI"", ""fmu"": ""FMUv6x"", ""imu"": ""Triple FMUv6x standard"", ""mission_computer"": ""ARM Cortex-A53 quad-core 1.8GHz 4GB RAM 16GB eMMC""}"
ELEC-BEITIAN-BN220-2026-05-09,electronics,Beitian,BN-220,GPS_RECEIVER,852691,CHN,CHN,Tier 3 Inferred,none,vendor_datasheet,https://ardupilot.org/copter/docs/common-beitian-gps.html,ok,11.5,8.0,15.0,True,,,,,,"{""accuracy"": ""2.0 m CEP"", ""channels"": ""72"", ""cold_start_ttff"": ""26 seconds"", ""constellation_support"": ""GPS;GLONASS;Galileo;BeiDou;QZSS;SBAS"", ""gnss_chipset"": ""u-blox M8N (8030-KT)"", ""rtk_capable"": ""no"", ""sensitivity_tracking"": ""-167 dBm"", ""update_rate"": ""1-18 Hz (single GNSS); 1-10 Hz concurrent""}"
ELEC-BEITIAN-BN880-2026-05-09,electronics,Beitian,BN-880,GPS_RECEIVER,852691,CHN,CHN,Tier 3 Inferred,none,vendor_datasheet,https://ardupilot.org/copter/docs/common-beitian-gps.html,ok,15.0,6.0,24.0,True,,,,,,"{""accuracy"": ""2.0 m CEP"", ""channels"": ""72"", ""compass"": ""HMC5883L"", ""constellation_support"": ""GPS;GLONASS;Galileo;BeiDou;QZSS;SBAS"", ""gnss_chipset"": ""u-blox M8N"", ""rtk_capable"": ""no"", ""update_rate"": ""1-10 Hz""}"
ELEC-BENEWAKE-TF02PRO-2026-05-09,electronics,Benewake,TF02-Pro,SENSOR_OTHER,903149,CHN,CHN,Tier 3 Inferred,none,vendor_datasheet,https://en.benewake.com/TF02Pro/index.html,ok,75.0,60.0,90.0,True,,50.0,,,,"{""max_range"": ""40 m"", ""resolution"": ""1 cm"", ""sensing_technology"": ""LED ToF"", ""update_rate"": ""100 Hz""}"
ELEC-BENEWAKE-TF03-2026-05-09,electronics,Benewake,TF03,SENSOR_OTHER,903149,CHN,CHN,Tier 3 Inferred,none,vendor_datasheet,https://en.benewake.com/TF03/index.html,ok,235.0,220.0,250.0,True,,89.0,,,,"{""max_range"": ""180 m"", ""resolution"": ""1 cm"", ""sensing_technology"": ""Laser ToF 905 nm"", ""update_rate"": ""100 Hz""}"
ELEC-BENEWAKE-TFMINIS-2026-05-09,electronics,Benewake,TFmini-S,SENSOR_OTHER,903149,CHN,CHN,Tier 3 Inferred,none,vendor_datasheet,https://en.benewake.com/TFminiS/index.html,ok,37.0,30.0,44.0,True,,5.0,,,,"{""beam_divergence"": ""2 deg"", ""max_range"": ""12 m"", ""resolution"": ""1 cm"", ""sensing_technology"": ""LED ToF 850 nm VCSEL"", ""update_rate"": ""1000 Hz""}"
ELEC-BETAFPV-ELRSNANOTXMODULE-2026-05-09,electronics,BetaFPV,ELRS Nano TX Module,RADIO_DATALINK,852692,CHN,CHN,Tier 3 Inferred,none,vendor_datasheet,https://betafpv.com/products/elrs-nano-tx-module,ok,32.5,20.0,45.0,True,,10.0,,,,"{""frequency_ghz"": ""2.4 GHz"", ""latency_ms"": ""2 ms"", ""protocol"": ""ExpressLRS"", ""tx_power_mw"": ""100-1000 mW"", ""update_rate_hz"": ""1000 Hz""}"
ELEC-BLUEROBOTICS-SWITCHSWITCH105AR1-2026-05-09,electronics,Blue Robotics,Switch SWITCH-10-5A-R1,SAFETY_SWITCH,853650,USA,USA,Tier 0 Anchor,none,vendor_datasheet,https://bluerobotics.com/store/comm-control-power/switch/switch-10-5a-r1/,ok,40.0,30.0,50.0,True,,,,,,"{""depth_rating"": ""950-1000 m"", ""max_continuous_current"": ""5 A"", ""max_voltage"": ""26 VDC"", ""wire_gauge"": ""22 AWG""}"
ELEC-BLUEMARK-DB100-2026-07-02,electronics,BlueMark,db100,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BLUEMARK-DB120-2026-07-02,electronics,BlueMark,db120,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BLUEMARK-DB121-2026-07-02,electronics,BlueMark,db121,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BLUEMARK-DB121PCB-2026-07-02,electronics,BlueMark,db121pcb,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BLUEMARK-DB122FPV-2026-07-02,electronics,BlueMark,db122fpv,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BLUEMARK-DB150-2026-07-02,electronics,BlueMark,db150,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BLUEMARK-DB151-2026-07-02,electronics,BlueMark,db151,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BLUEMARK-DB151PCB-2026-07-02,electronics,BlueMark,db151pcb,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BLUEMARK-DB152FPV-2026-07-02,electronics,BlueMark,db152fpv,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BLUEMARK-DB153FPV-2026-07-02,electronics,BlueMark,db153fpv,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BLUEMARK-DB154-2026-07-02,electronics,BlueMark,db154,,,,NLD,Tier 1 Verified,none,faa_uasdoc,https://uasdoc.faa.gov/api/v1/publicDOCRev,,,,,,,,,,,
ELEC-BOSCHSENSORTEC-BME280-2026-05-09,electronics,Bosch Sensortec,BME280,BAROMETER,902580,DEU,DEU,Tier 2 Triangulated,vendor_claimed,vendor_datasheet,https://www.bosch-sensortec.com,ok,4.03,4.03,4.03,False,,0.1,,,,"{""humidity_accuracy"": ""±3 % RH"", ""pressure_range"": ""300-1100 hPa"", ""relative_accuracy"": ""±0.12 hPa"", ""temp_accuracy"": ""±1.0 °C""}"
ELEC-BOSCHSENSORTEC-BMI088-2026-05-09,electronics,Bosch Sensortec,BMI088,IMU_AHRS,903180,DEU,DEU,Tier 2 Triangulated,vendor_claimed,vendor_datasheet,https://www.bosch-sensortec.com,ok,11.5,8.0,15.0,True,,0.1,,,,"{""accel_odr"": ""1600 Hz"", ""accel_range"": ""±24 g"", ""type"": ""6-axis IMU (accel+gyro)""}"
ELEC-BOSCHSENSORTEC-BMP388-2026-05-09,electronics,Bosch Sensortec,BMP388,BAROMETER,902580,DEU,DEU,Tier 2 Triangulated,vendor_claimed,vendor_datasheet,https://www.bosch-sensortec.com,ok,3.5,3.0,4.0,True,,0.1,,,,"{""altitude_resolution"": ""±66 cm"", ""output_data_rate"": ""200 Hz"", ""pressure_range"": ""300-1250 hPa"", ""relative_accuracy"": ""±0.08 hPa""}"
